순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국,전국,서울,서울,장르,등급,영화구분
,,,,,,,,,,스크린수,매출액,관객수,매출액,관객수,,,
549,공짜 키스방 무삭제,윤중부,(주)씨맥스커뮤니케이션즈,,(주)씨맥스커뮤니케이션즈,2019-10-04,개봉영화,장편,한국,1,"1,000",1,0,0,드라마,청소년관람불가,일반영화
550,과외의 추억-무삭제,김다니엘,스마일컨텐츠,,스마일컨텐츠,2018-11-05,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
551,관계 : 특별한 형수,김환,(주)영화사가을,,(주)영화사가을,2019-09-11,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
552,관계 : 형수와 딸,정완경,(주)영화사가을,,(주)영화사가을,2019-04-02,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
553,관계 : 형수와 딸 무삭제,정완경,(주)영화사가을,,(주)영화사가을,2019-06-25,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
554,관전남 - 무삭제판,최우성,,,(주)컨텐츠 빌리지,2019-12-03,개봉영화,장편,한국,1,"1,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
555,교환섹스 : 동생의 여자,"이상민,이상민",(주)영화사가을,,(주)영화사가을,2018-02-06,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
556,교환섹스 : 동생의 여자 무삭제,이상민,(주)영화사가을,,(주)영화사가을,2018-11-20,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
557,교회누나 무삭제판,에로핑,(주)엔트리미디어,,(주)엔트리미디어,2018-12-14,개봉영화,장편,한국,1,"2,000",1,"2,000",1,멜로/로맨스,청소년관람불가,일반영화
558,그녀의 색맛: 감독판,이민,(주)케이알씨지,,(주)케이알씨지,2018-04-24,개봉영화,장편,한국,1,"2,000",1,"2,000",1,멜로/로맨스,청소년관람불가,일반영화
559,그녀의 색맛: 무삭제판,이민,(주)케이알씨지,,(주)케이알씨지,2018-08-23,개봉영화,장편,한국,1,"1,000",1,"1,000",1,멜로/로맨스,청소년관람불가,일반영화
560,그녀의 정사 무삭제 감독판,이재남,(주)케이알씨지,,(주)케이알씨지,2018-05-22,개봉영화,장편,한국,1,"1,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
561,긴섹충,우기상,(주)피에이치미디어,,(주)피에이치미디어,2019-08-30,개봉영화,장편,한국,1,"2,000",1,"2,000",1,성인물(에로),청소년관람불가,일반영화
562,깡패들,소재현,펀펀한영화사,,(주)영화사 사계절,2019-09-02,개봉영화,장편,한국,1,"6,000",1,0,0,액션,청소년관람불가,일반영화
563,깡패들 무삭제,소재현,(주)영화사가을,,(주)영화사가을,2019-12-13,개봉영화,장편,한국,1,"6,000",1,0,0,액션,청소년관람불가,일반영화
564,나쁜 처제 무삭제,김부곤,(주)영화사가을,,(주)영화사가을,2019-11-28,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
565,나쁜 처제들,이재금,(주)소나무픽쳐스,,(주)소나무픽쳐스,2019-09-11,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
566,나의 어린 처제,이재금,(주)소나무픽쳐스,,(주)소나무픽쳐스,2019-06-12,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
567,나의 젊은 형수님,이정,(주)소나무픽쳐스,,(주)소나무픽쳐스,2019-04-05,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
568,나의 젊은 형수님 - 감독판,이정,(주)소나무픽쳐스,,(주)소나무픽쳐스,2019-09-11,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
569,남의 아내 무삭제판,한동호,(주)가온콘텐츠,,(주)가온콘텐츠,2019-09-17,개봉영화,장편,한국,1,"2,000",1,"2,000",1,드라마,청소년관람불가,일반영화
570,남편 교환의 날,이정,(주)소나무픽쳐스,,(주)소나무픽쳐스,2019-04-17,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
571,남편 교환의 날 - 감독판,이정,(주)소나무픽쳐스,,(주)소나무픽쳐스,2019-06-14,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
572,남편친구들 무삭제판,최정자,(주)가온콘텐츠,,(주)가온콘텐츠,2019-10-15,개봉영화,장편,한국,1,"5,000",1,0,0,드라마,청소년관람불가,일반영화
573,내 동생의 아내 무삭제,조태호,(주)영화사가을,,(주)영화사가을,2019-06-14,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
574,내 사촌 누나,윤중부,(주)씨맥스커뮤니케이션즈,,(주)씨맥스커뮤니케이션즈,2019-04-19,개봉영화,장편,한국,1,"1,000",1,0,0,드라마,청소년관람불가,일반영화
575,내 사촌 누나 무삭제,윤중부,(주)씨맥스커뮤니케이션즈,,(주)씨맥스커뮤니케이션즈,2019-08-14,개봉영화,장편,한국,1,"2,000",1,"2,000",1,드라마,청소년관람불가,일반영화
576,내 사촌 여동생들,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-08-30,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
577,내 사촌 여동생들 (감독판),강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-12-07,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
578,내 아내는 왜! 바람이 났을까?,제임스 오,(주)뮤직엔닷컴,,(주)뮤직엔닷컴,2019-12-20,개봉영화,장편,한국,1,"1,000",1,0,0,성인물(에로),청소년관람불가,일반영화
579,내 아내를 과장이 후렸다,제임스 오,(주)뮤직엔닷컴,,(주)뮤직엔닷컴,2019-10-18,개봉영화,장편,한국,1,"1,000",1,0,0,성인물(에로),청소년관람불가,일반영화
580,내 아내의 언니 2 무삭제,김부곤,(주)영화사가을,,(주)영화사가을,2018-04-17,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
581,내 아내의 언니 3 무삭제,조태호,(주)영화사가을,,(주)영화사가을,2019-06-14,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
582,내 아내의 엄마 무삭제,김부곤,(주)영화사가을,,(주)영화사가을,2019-09-11,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
583,내 아내의 초대남들: 네토라레_무삭제판,노현진,(주)마이애미미디어,,(주)마이애미미디어,2018-04-20,개봉영화,장편,한국,1,"6,000",1,0,0,,청소년관람불가,일반영화
584,내 아내의 친구-무삭제판,엠씨짱,(주)케이알씨지,,(주)케이알씨지,2018-02-14,개봉영화,장편,한국,1,"2,000",1,"2,000",1,멜로/로맨스,청소년관람불가,일반영화
585,내 아내의 친구들,이재훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2019-07-01,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
586,내 엄마의 친구 2 무삭제,이동현,(주)소나무픽쳐스,,(주)소나무픽쳐스,2019-07-25,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
587,내 엄마의 친구(무삭제),이진명,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-07-03,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
588,내 엄마의 친구: 완숙한 육체를 탐하다,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-03-06,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
589,내 엄마의 친구: 완숙한 육체를 탐하다-무삭제판,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-04-17,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
590,내 여자가 된 형수,"최석원,최석원",(주)씨맥스커뮤니케이션즈,,(주)씨맥스커뮤니케이션즈,2018-02-01,개봉영화,장편,한국,1,"2,000",1,"2,000",1,기타,청소년관람불가,일반영화
591,내 여자친구의 엄마 무삭제,김부곤,(주)영화사가을,,(주)영화사가을,2019-05-09,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
592,내 여친은 20살,윤중부,(주)씨맥스커뮤니케이션즈,,(주)씨맥스커뮤니케이션즈,2019-08-30,개봉영화,장편,한국,1,"1,000",1,0,0,드라마,청소년관람불가,일반영화
593,내 여친은 20살 무삭제,윤중부,(주)씨맥스커뮤니케이션즈,,(주)씨맥스커뮤니케이션즈,2019-11-15,개봉영화,장편,한국,1,"1,000",1,0,0,드라마,청소년관람불가,일반영화
594,내 이웃의 아내 3,"강정훈,강정훈",(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-01-31,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
595,내 이웃의 아내 3 (무삭제),강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-03-26,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
596,내 착한 새엄마,이재금,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-12-26,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
597,내 착한 새엄마 (감독판),이재금,(주)소나무픽쳐스,,(주)소나무픽쳐스,2019-01-29,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
598,내 처제가 된 첫사랑,김이슬,(주)영화사가을,,(주)영화사가을,2018-12-20,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
599,내 친구 엄마 무삭제,이리단,(주)영화사가을,,(주)영화사가을,2018-06-19,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
600,내 친구엄마들 2018,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-09-18,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
601,내 친구엄마들 2018 (감독판),강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-11-09,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
602,내 친구의 아내 3 (무삭제),강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-03-06,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
603,내 친구의 엄마들,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-08-10,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
604,내 친구의 엄마들(감독판),강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-10-16,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
605,내 학생의 엄마 2 무삭제,곽영근,(주)영화사가을,,(주)영화사가을,2018-02-23,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
606,내 학생의 엄마 3 무삭제,유해종,(주)영화사가을,,(주)영화사가을,2018-11-22,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
607,내딸 : 아찔한 동거,최석원,(주)씨맥스커뮤니케이션즈,,(주)씨맥스커뮤니케이션즈,2018-03-08,개봉영화,장편,한국,1,"2,000",1,"2,000",1,,청소년관람불가,일반영화
608,내방에 일본여자가 있다 무삭제판,노세기,,(주)엔트리미디어,(주)엔트리미디어,2019-08-30,개봉영화,장편,한국,1,"1,000",1,0,0,성인물(에로),청소년관람불가,일반영화
609,내아내의제자들,정민용,스마일컨텐츠,,스마일컨텐츠,2019-02-18,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
610,내아내의제자들-무삭제,정민용,스마일컨텐츠,,스마일컨텐츠,2019-04-12,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
611,내아들의여자들,남현수,스마일컨텐츠,,스마일컨텐츠,2018-08-31,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
612,내아들의여자들-무삭제,남현수,스마일컨텐츠,,스마일컨텐츠,2018-10-12,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
613,내친구아내,최은정,스마일컨텐츠,,스마일컨텐츠,2018-04-13,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
614,내친구아내-무삭제,최은정,스마일컨텐츠,,스마일컨텐츠,2018-05-22,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
615,내친구의두엄마,정민용,스마일컨텐츠,,스마일컨텐츠,2019-01-25,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
616,내친구의두엄마-무삭제,정민용,스마일컨텐츠,,스마일컨텐츠,2019-03-29,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
617,내형의여자친구,남현수,스마일컨텐츠,,스마일컨텐츠,2018-04-20,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
618,내형의여자친구-무삭제,남현수,스마일컨텐츠,,스마일컨텐츠,2018-05-25,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
619,너무 밝히는 사촌누나들,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-08-10,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
620,너무 밝히는 사촌누나들(감독판),강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-09-27,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
621,누나 친구 3 무삭제,김부곤,(주)영화사가을,,(주)영화사가을,2019-09-11,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
622,누나의 비디오,에로핑,(주)엔트리미디어,,(주)엔트리미디어,2019-03-28,개봉영화,장편,한국,1,"1,000",1,0,0,성인물(에로),청소년관람불가,일반영화
623,누나친구 : 이혼하고 온 날,이상민,(주)영화사가을,,(주)영화사가을,2018-02-20,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
624,누나친구 : 이혼하고 온 날 무삭제,이상민,(주)영화사가을,,(주)영화사가을,2018-03-28,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
625,독고다이,이수성,(주)케이알씨지,,(주)케이알씨지,2019-06-18,개봉영화,장편,한국,1,"1,000",1,"1,000",1,드라마,15세이상관람가,일반영화
626,동갑내기 엄마-무삭제,성기만,스마일컨텐츠,,스마일컨텐츠,2019-01-18,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
627,동생의 여자,장두만,(주)케이피에이기획,,(주)케이피에이기획,2018-11-22,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
628,동생의 여자들,이진,(주)소나무픽쳐스,,(주)소나무픽쳐스,2019-05-03,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
629,동생의 여자들 - 감독판,이진,(주)소나무픽쳐스,,(주)소나무픽쳐스,2019-10-04,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
630,동생의 젊은 아내,이재금,(주)소나무픽쳐스,,(주)소나무픽쳐스,2019-12-12,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
631,동생의애인들,최성길,스마일컨텐츠,,스마일컨텐츠,2019-12-20,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
632,동생의여자친구,최성길,스마일컨텐츠,,스마일컨텐츠,2019-11-01,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
633,동생의여자친구-무삭제,최성길,스마일컨텐츠,,스마일컨텐츠,2019-12-11,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
634,동생의착한아내,최은정,스마일컨텐츠,,스마일컨텐츠,2018-09-14,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
635,동창생의 목적-무삭제판,이민,(주)케이알씨지,,(주)케이알씨지,2018-05-01,개봉영화,장편,한국,1,"1,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
636,동창회의 목적 3(무삭제),이도시,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-04-27,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
637,동호회의 목적 2 무삭제,김부곤,(주)영화사가을,,(주)영화사가을,2019-08-27,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
638,두 부부의 정사,이상민,(주)영화사가을,,(주)영화사가을,2018-03-30,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
639,두 부부의 정사 무삭제,이상민,(주)영화사가을,,(주)영화사가을,2018-07-23,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
640,두 엄마 2018,이진,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-10-16,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
641,두 엄마 2018 (감독판),이진,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-12-07,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
642,등산의 참맛 무삭제판,한동호,(주)라온컴퍼니플러스,,(주)라온컴퍼니플러스,2019-10-01,개봉영화,장편,한국,1,"5,000",1,0,0,드라마,청소년관람불가,일반영화
643,딸의 애인 2-무삭제판,김태수,(주)컨텐츠 빌리지,,(주)컨텐츠 빌리지,2019-06-05,개봉영화,장편,한국,1,"2,000",1,"2,000",1,멜로/로맨스,청소년관람불가,일반영화
644,딸의 애인-무삭제판,계장혁,골드피쉬프로덕션,,(주)컨텐츠 빌리지,2018-08-15,개봉영화,장편,한국,1,"1,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
645,딸의 친구 2 - 무삭제판,계장혁,(주)컨텐츠 빌리지,,(주)컨텐츠 빌리지,2018-01-24,개봉영화,장편,한국,1,"3,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
646,딸의 친구 3 - 무삭제판,계장혁,(주)컨텐츠 빌리지,,(주)컨텐츠 빌리지,2019-06-11,개봉영화,장편,한국,1,"2,000",1,"2,000",1,멜로/로맨스,청소년관람불가,일반영화
647,딸의 친구 4 - 무삭제판,김태수,(주)컨텐츠 빌리지,,(주)컨텐츠 빌리지,2019-10-01,개봉영화,장편,한국,1,"1,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
648,룸싸롱 맛있는 서비스 무삭제,조태호,(주)영화사가을,,(주)영화사가을,2018-11-13,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
649,룸싸롱 여대생들 무삭제,조태호,(주)영화사가을,,(주)영화사가을,2018-10-16,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
650,룸싸롱 여대생들 2 무삭제,조태호,(주)영화사가을,,(주)영화사가을,2019-12-10,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
651,룸싸롱 : 맛있는 서비스 2 무삭제,김성종,(주)영화사가을,,(주)영화사가을,2019-12-24,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
652,리턴,최석원,(주)레드언더미디어,,(주)레드언더미디어,2018-06-22,개봉영화,장편,한국,1,"2,000",1,"2,000",1,,청소년관람불가,일반영화
653,마지막 정사: 여럿이 다같이-감독판,이전,(주)케이알씨지,,(주)케이알씨지,2018-11-28,개봉영화,장편,한국,1,"1,000",1,"1,000",1,멜로/로맨스,청소년관람불가,일반영화
654,막내 이모 - 무삭제판,김태수,(주)컨텐츠 빌리지,,(주)컨텐츠 빌리지,2019-11-26,개봉영화,장편,한국,1,"1,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
655,막내 형수 - 무삭제판,최우성,(주)컨텐츠 빌리지,,(주)컨텐츠 빌리지,2019-09-10,개봉영화,장편,한국,1,"2,000",1,"2,000",1,멜로/로맨스,청소년관람불가,일반영화
656,맛있는 세자매-무삭제,장두만,(주)케이피에이기획,,(주)케이피에이기획,2019-02-20,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
657,맛있는 섹스 그리고 그 여자-감독판,이전,(주)케이알씨지,,(주)케이알씨지,2018-06-12,개봉영화,장편,한국,1,"1,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
658,맛있는 섹스 그리고 여군,윤중부,(주)씨맥스커뮤니케이션즈,,(주)씨맥스커뮤니케이션즈,2019-08-02,개봉영화,장편,한국,1,"1,000",1,0,0,드라마,청소년관람불가,일반영화
659,맛있는 섹스 그리고 여군 무삭제,윤중부,(주)씨맥스커뮤니케이션즈,,(주)씨맥스커뮤니케이션즈,2019-10-18,개봉영화,장편,한국,1,"1,000",1,0,0,드라마,청소년관람불가,일반영화
660,맛있는 섹스 그리고 여친 무삭제 특별판,이민,(주)케이알씨지,,(주)케이알씨지,2018-05-03,개봉영화,장편,한국,1,"1,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
661,맛있는 섹스 누나 친구-무삭제판,이전,(주)케이알씨지,,(주)케이알씨지,2018-10-16,개봉영화,장편,한국,1,"1,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
662,맛있는 아내(무삭제판),노현진,(주)마이애미미디어,,(주)나우콘텐츠,2019-04-11,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
663,맛있는 여상사,윤중부,(주)씨맥스커뮤니케이션즈,,(주)씨맥스커뮤니케이션즈,2019-07-05,개봉영화,장편,한국,1,"1,000",1,0,0,드라마,청소년관람불가,일반영화
664,맛있는 여상사 무삭제,윤중부,(주)씨맥스커뮤니케이션즈,,(주)씨맥스커뮤니케이션즈,2019-09-04,개봉영화,장편,한국,1,"1,000",1,0,0,드라마,청소년관람불가,일반영화
665,맛있는 유혹,이민,(주)케이알씨지,,(주)케이알씨지,2018-04-03,개봉영화,장편,한국,1,"2,000",1,"2,000",1,멜로/로맨스,청소년관람불가,일반영화
666,맛있는 유혹 무삭제판,이민,(주)케이알씨지,,(주)케이알씨지,2018-05-15,개봉영화,장편,한국,1,"2,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
667,맛있는누나들-무삭제,강백호,스마일컨텐츠,,스마일컨텐츠,2019-02-01,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
668,맛있는엄마들-무삭제,이철,스마일컨텐츠,,스마일컨텐츠,2019-11-21,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
669,맛있는여대생들,천성준,에이원 미디어,,에이원 미디어,2019-11-15,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
670,매력적인 장모님들,이재금,(주)소나무픽쳐스,,(주)소나무픽쳐스,2019-01-04,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
671,매력적인 장모님들 (감독판),이재금,(주)소나무픽쳐스,,(주)소나무픽쳐스,2019-01-29,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
672,며느리의 남자,김환,(주)영화사가을,,(주)영화사가을,2019-10-24,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
673,몸도 주고 마음도 주고,윤중부,(주)씨맥스커뮤니케이션즈,,(주)씨맥스커뮤니케이션즈,2019-08-16,개봉영화,장편,한국,1,"1,000",1,0,0,드라마,청소년관람불가,일반영화
674,몸도 주고 마음도 주고 무삭제,윤중부,(주)씨맥스커뮤니케이션즈,,(주)씨맥스커뮤니케이션즈,2019-11-01,개봉영화,장편,한국,1,"1,000",1,0,0,드라마,청소년관람불가,일반영화
675,물좋은하숙집-무삭제,장두만,에이원 미디어,,에이원 미디어,2019-03-25,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
676,물좋은하숙집2,장두만,에이원 미디어,,에이원 미디어,2019-01-18,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
677,물좋은하숙집2-무삭제,장두만,에이원 미디어,,에이원 미디어,2019-05-03,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
678,미용실 : 특별한 서비스 2 무삭제,조태호,(주)영화사가을,,(주)영화사가을,2018-06-04,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
679,미용실 : 특별한 서비스 3 무삭제,김종민,(주)영화사가을,,(주)영화사가을,2019-09-11,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
680,미투 숨겨진진실 무삭제,마현진,노다지엔터테인먼트,,노다지엔터테인먼트,2018-10-26,개봉영화,장편,한국,1,"5,000",1,0,0,,청소년관람불가,일반영화
681,밀애 2019,김이슬,(주)영화사가을,,(주)영화사가을,2019-06-07,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
682,밀애 : 부부카풀 무삭제,임현태,(주)영화사가을,,(주)영화사가을,2018-11-13,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
683,밀애 : 사장님의 젊은 아내,"이상민,이상민",(주)영화사가을,,(주)영화사가을,2018-02-06,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
684,밀애 : 사장님의 젊은 아내 무삭제,이상민,(주)영화사가을,,(주)영화사가을,2018-11-20,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
685,밀애 : 아내의 여동생 무삭제판,김부곤,(주)영화사가을,,(주)영화사가을,2018-11-22,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
686,밀애 : 착한 처제,정완경,(주)영화사가을,,(주)영화사가을,2019-07-10,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
687,밀애 : 착한 처제 무삭제,정완경,(주)영화사가을,,(주)영화사가을,2019-09-10,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
688,밀애 : 착한 형수 무삭제,김부곤,(주)영화사가을,,(주)영화사가을,2019-03-11,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
689,밀애 : 친구엄마 무삭제판,김부곤,(주)영화사가을,,(주)영화사가을,2018-10-02,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
