순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국,전국,서울,서울,장르,등급,영화구분
,,,,,,,,,,스크린수,매출액,관객수,매출액,관객수,,,
55,바람 바람 바람,이병헌,(주)하이브미디어코프,,(주)넥스트엔터테인먼트월드(NEW),2018-04-05,개봉영화,장편,한국,985,"9,702,206,675","1,183,959","2,250,342,475","271,361",코미디,청소년관람불가,일반영화
56,"힘을 내요, 미스터 리",이계벽,"(주)용필름,(주)덱스터스튜디오",,(주)넥스트엔터테인먼트월드(NEW),2019-09-11,개봉영화,장편,한국,990,"9,887,863,906","1,176,076","1,965,170,736","229,545",코미디,12세이상관람가,일반영화
57,퍼펙트맨,용수,"(주)맨필름,(주)쇼박스",,(주)쇼박스,2019-10-02,개봉영화,장편,한국,894,"9,604,139,750","1,144,894","1,544,313,980","178,228",코미디,15세이상관람가,일반영화
58,장사리 : 잊혀진 영웅들,"곽경택,김태훈",(주)태원엔터테인먼트,,워너브러더스 코리아(주),2019-09-25,개봉영화,장편,한국,"1,090","8,997,921,050","1,140,876","1,699,010,620","208,596",전쟁,12세이상관람가,일반영화
59,챔피언,김용완,(주)코코너,,워너브러더스 코리아(주),2018-05-01,개봉영화,장편,한국,874,"9,441,064,230","1,125,319","1,846,376,630","212,475",드라마,12세이상관람가,일반영화
60,롱 리브 더 킹: 목포 영웅,강윤성,"(주)영화사 필름몬스터,(주)비에이엔터테인먼트",,"메가박스중앙(주)플러스엠,(주)콘텐츠 난다긴다",2019-06-19,개봉영화,장편,한국,965,"9,218,262,910","1,092,738","1,631,602,490","189,422",액션,15세이상관람가,일반영화
61,염력,연상호,(주)영화사레드피터,,(주)넥스트엔터테인먼트월드(NEW),2018-01-31,개봉영화,장편,한국,"1,099","7,484,644,112","990,104","1,855,120,412","238,805",드라마,15세이상관람가,일반영화
62,천문: 하늘에 묻는다,허진호,(주)하이브미디어코프,,롯데컬처웍스(주)롯데엔터테인먼트,2019-12-26,개봉영화,장편,한국,"1,198","7,808,242,950","965,624","2,113,501,840","258,720",사극,12세이상관람가,일반영화
63,나랏말싸미,조철현,(주)영화사두둥,,메가박스중앙(주)플러스엠,2019-07-24,개봉영화,장편,한국,"1,211","7,871,240,823","958,775","1,862,210,553","222,884",사극,전체관람가,일반영화
64,인랑,김지운,(주)루이스 픽쳐스,,워너브러더스 코리아(주),2018-07-25,개봉영화,장편,한국,"1,085","6,994,748,173","897,548","1,768,239,473","216,427",SF,15세이상관람가,일반영화
65,극장판 헬로카봇 : 백악기 시대,"최신규,김진철",(주)초이락컨텐츠팩토리,,(주)넥스트엔터테인먼트월드(NEW),2018-08-01,개봉영화,장편,한국,758,"6,542,619,500","874,967","1,092,117,400","140,632",애니메이션,전체관람가,일반영화
66,레드슈즈,홍성호,(주)싸이더스,,(주)넥스트엔터테인먼트월드(NEW),2019-07-25,개봉영화,장편,한국,717,"6,102,923,190","817,547","1,380,911,550","201,881",애니메이션,전체관람가,일반영화
67,상류사회,변혁,(주)하이브미디어코프,,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-29,개봉영화,장편,한국,867,"6,313,416,163","768,442","1,519,155,763","181,389",드라마,청소년관람불가,일반영화
68,뽀로로 극장판 보물섬 대모험,"김현호,윤창섭,김현호",(주)오콘,,(주)넥스트엔터테인먼트월드(NEW),2019-04-25,개봉영화,장편,한국,736,"5,886,268,900","766,758","1,016,498,870","126,872",애니메이션,전체관람가,일반영화
69,레슬러,김대웅,(주)안나푸르나필름,,롯데쇼핑㈜롯데엔터테인먼트,2018-05-09,개봉영화,장편,한국,957,"6,440,492,657","765,963","1,392,248,057","159,549",드라마,15세이상관람가,일반영화
70,물괴,허종호,(주)태원엔터테인먼트,,"롯데컬처웍스(주)롯데엔터테인먼트,(주)키다리이엔티",2018-09-12,개봉영화,장편,한국,"1,183","6,104,164,954","723,414","1,317,227,754","149,475",액션,15세이상관람가,일반영화
71,미쓰백,이지원,영화사 배,,(주)리틀빅픽쳐스,2018-10-11,개봉영화,장편,한국,638,"6,027,243,066","720,558","1,575,923,166","184,908",드라마,15세이상관람가,일반영화
72,신비아파트: 금빛 도깨비와 비밀의 동굴,김병갑,"(주)씨제이이엔엠,(주)칵테일 미디어",,(주)씨제이이엔엠,2018-07-25,개봉영화,장편,한국,762,"5,001,247,250","678,091","699,258,600","91,723",애니메이션,전체관람가,일반영화
73,신비아파트 극장판 하늘도깨비 대 요르문간드,변영규,(주)씨제이이엔엠,,(주)씨제이이엔엠,2019-12-19,개봉영화,장편,한국,841,"5,299,942,440","672,122","685,418,380","82,269",애니메이션,전체관람가,일반영화
74,나를 찾아줘,김승우,"(주)26컴퍼니,(주)영화사바른",,워너브러더스 코리아(주),2019-11-27,개봉영화,장편,한국,875,"5,117,014,620","645,082","1,211,838,780","146,847",스릴러,15세이상관람가,일반영화
75,광대들: 풍문조작단,김주호,(주)영화사심플렉스,,워너브러더스 코리아(주),2019-08-21,개봉영화,장편,한국,806,"5,226,776,088","637,021","1,097,148,968","129,821",사극,12세이상관람가,일반영화
76,극장판 헬로카봇 : 달나라를 구해줘!,"최신규,김진철",(주)초이락컨텐츠팩토리,,롯데컬처웍스(주)롯데엔터테인먼트,2019-09-04,개봉영화,장편,한국,889,"4,553,434,150","587,818","687,159,820","84,670",애니메이션,전체관람가,일반영화
77,극장판 헬로카봇: 옴파로스 섬의 비밀,"최신규,김진철",(주)초이락컨텐츠팩토리,,(주)넥스트엔터테인먼트월드(NEW),2019-01-31,개봉영화,장편,한국,752,"4,485,905,140","575,353","724,293,890","88,888",애니메이션,전체관람가,일반영화
78,양자물리학,이성태,(주)엠씨엠씨,,(주)메리크리스마스,2019-09-25,개봉영화,장편,한국,799,"4,526,478,380","553,879","1,152,440,160","137,943",범죄,15세이상관람가,일반영화
79,점박이 한반도의 공룡2 : 새로운 낙원,한상호,(주)드림써치C&C,,(주)넥스트엔터테인먼트월드(NEW),2018-12-25,개봉영화,장편,한국,672,"4,293,073,300","550,059","692,247,500","85,793",애니메이션,전체관람가,일반영화
80,버닝,이창동,"파인하우스필름(주),나우필름(주)",,CGV아트하우스,2018-05-17,개봉영화,장편,한국,739,"4,714,345,098","528,153","1,765,445,398","194,098",미스터리,청소년관람불가,일반영화
81,7년의 밤,추창민,"(주)바른손,(주)씨제이이엔엠",,(주)씨제이이엔엠,2018-03-28,개봉영화,장편,한국,872,"3,969,337,524","528,007","1,046,793,224","133,744",스릴러,15세이상관람가,일반영화
